"","Country","Status","Date","Center.ID","Center","Verified","Type","Activity","Org","Capacity","Equipment..R.A.G.","Staff","Doctors","Nurses","Isolation.Facility","PPE","Burial.Site","Water","Power","Comm.","Date.open","Date.closed","Region","Adm1.ID","District","Adm2.ID","Adm3","Place","Lat","Long","Address","Clinic.Website","Notes..example..If.closed.why..","Source.of.info","Location.in.OSM","MTI..Zone","MTI..Zonal.Facility","UN.Team","UN.Site.No","UN.site.name","UTM","UN.Gr","UNMIL.Grid","UNMIL.Grid.New","Facility name","dl","cosine","exact","q_exact","OK"
"37","Liberia","","19.08.14","LR21-000042","Warsonga","","Clinic","","PMU","N/A",NA,NA,"","","","","",NA,NA,NA,"","","Lofa","LBR08","Foya","LBR0801",NA,"",8.36124,-10.28349,"",NA,"","","","","","",NA,"","","","","","Worsonga Clinic",8,0.309934440657646,"no","no",NA
"38","Liberia","","19.08.14","LR21-000046","Yekpedu","","Clinic","","PMU","N/A",NA,NA,"","","","","",NA,NA,NA,"","","Lofa","LBR08","Foya","LBR0801",NA,"",8.23392,-10.22478,"",NA,"","","","","","",NA,"","","","","","Yekpedu Clinic",7,0.292893218813452,"no","no",NA
"39","Liberia","","","UN284","Balahun Clinic","","","","","",NA,NA,"0","","","","",NA,NA,NA,"","","Lofa","LBR08","Kolahun","LBR0802",NA,"Balahun Town",8.332446272,-10.066484,"",NA,"","","","","","UNMO TEAM SITE –11 (VOINJAMA)",11,"VOINJAMA","29P","LK 82565 21209","29PLK 82565 21209","29PLK 82565 21209","Popalahun Clinic",3,0.0860923062325863,"no","yes",NA
"40","Liberia","Open","19.08.14","LR21-000039","Bolahun Health Center","","Health Center","","PMU","15",NA,NA,"","","","","",NA,NA,NA,"","","Lofa","LBR08","Kolahun","LBR0802",NA,"Bolahun",8.2284,-10.16216,"",NA,"","","","","","",NA,"","","","","","Bolahun Health Center",0,0,"yes","yes","yes"
"41","Liberia","","","UN270","Fagonda Clinic","","","","","",NA,NA,"0"," 3","","8 sets of PPE","",NA,NA,NA,"","","Lofa","LBR08","Kolahun","LBR0802",NA,"Fagonda Town",8.221351048,-10.173538,"",NA,"","","","","","UNMO TEAM SITE –11 (VOINJAMA)",11,"VOINJAMA","29N","LK 70739 08958","29NLK 70739 08958","29PLK 70739 08958","Fangoda Clinic",2,0,"no","yes",NA
"42","Liberia","","19.08.14","LR21-000017","Fangonda Public","","Clinic","","MOHSW only","N/A",NA,NA,"","","","","",NA,NA,NA,"","","Lofa","LBR08","Kolahun","LBR0802",NA,"Fangonda",8.22146,-10.17351,"",NA,"","","","","","",NA,"","","","","","Fangoda Clinic",5,0.127918400727619,"no","no",NA
"43","Liberia","","19.08.14","LR21-000063","Fassawolu Health Clinic","","Clinic","","MOHSW only","N/A",NA,NA,"","","","","",NA,NA,NA,"","","Lofa","LBR08","Kolahun","LBR0802",NA,"Fassawolo",8.38976,-10.06642,"",NA,"","","","","","",NA,"","","","","","Fassavolu Clinic",8,0.107392601711326,"no","no",NA
"44","Liberia","","19.08.14","LR21-000057","Gondolahun","","Clinic","","PMU,GOL","N/A",NA,NA,"","","","","",NA,NA,NA,"","","Lofa","LBR08","Kolahun","LBR0802",NA,"Gordorlah",7.96539,-10.05559,"",NA,"","","","","","",NA,"","","","","","Gondalahun Clinic",8,0.205933332823256,"no","no",NA
"45","Liberia","","19.08.14","LR21-000007","Kamatahun Clinic","","Clinic","","MOHSW only","N/A",NA,NA,"","","","","",NA,NA,NA,"","","Lofa","LBR08","Kolahun","LBR0802",NA,"Kamatahun-Tahamba",8.13651,-10.29624,"",NA,"","","","","","",NA,"","","","","","Kamatahun Clinic",0,0,"yes","yes","yes"
"46","Liberia","","19.08.14","UN268","Kolahun Hospital","Y","Hospital","","","64",NA,NA,"","","","","",NA,NA,NA,"","","Lofa","LBR08","Kolahun","LBR0802",NA,"Kolbah City",8.294821623,-10.083996,"",NA,"","","","","","UNMO TEAM SITE –11 (VOINJAMA)",11,"VOINJAMA","29N","LK 80625 17054","29NLK 80625 17054","29PLK 80625 17054","Kolahun Hospital",0,0,"yes","yes","yes"
"47","Liberia","","19.08.14","LISGIS180","Korworhun Clinic","","Clinic","","PMU","",NA,NA,"","","","","",NA,NA,NA,"","","Lofa","LBR08","Kolahun","LBR0802",NA,"Korworhun",8.3167,-10.1513,"",NA,"","http://www.tlcafrica.com/lisgis/lisgis.htm","","","","",NA,"","","","","","Korworhun Clinic",0,0,"yes","yes","yes"
"48","Liberia","","19.08.14","LR21-000012","Lukasu Public","","Health Center","","MOHSW only","4",NA,NA,"","","","","",NA,NA,NA,"","","Lofa","LBR08","Kolahun","LBR0802",NA,"Lukasu",8.04735,-10.24189,"",NA,"","","","","","",NA,"","","","","","Lukasu Clinic",4,0.165377673888014,"no","no",NA
"49","Liberia","","","UN269","Mbolahun Hospital","","","","","",NA,NA,"0","","","No","",NA,NA,NA,"","","Lofa","LBR08","Kolahun","LBR0802",NA,"Mbolahun Town",8.228402294,-10.162049,"",NA,"","","","","","UNMO TEAM SITE –11 (VOINJAMA)",11,"VOINJAMA","29N","LK 72007 09734","29NLK 72007 09734","29PLK 72007 09734","Kolahun Hospital",2,0.0664361286037872,"no","yes",NA
"50","Liberia","","","UN271","Nyademoilahun Clinic","Y","Clinic","","GOL","",NA,NA,"0","","","No","",NA,NA,NA,"","","Lofa","LBR08","Kolahun","LBR0802",NA,"Nyademoilahun Town",8.442188015,-9.960228,"",NA,"","","","","","UNMO TEAM SITE –11 (VOINJAMA)",11,"VOINJAMA","29N","LK 94296 33313","29NLK 94296 33313","29PLK 94296 33313","Nyandemoilahun Clinic",1,0.0118950706775361,"no","yes",NA
"51","Liberia","","19.08.14","LR21-000013","Popalahun Health Clinic","","Clinic","","MOHSW only","N/A",NA,NA,"","","","","",NA,NA,NA,"","","Lofa","LBR08","Kolahun","LBR0802",NA,"Popalahun",8.1758,-10.23397,"",NA,"","","","","","",NA,"","","","","","Popalahun Clinic",7,0.0661407904529645,"no","yes",NA
"52","Liberia","","","LISGIS164","Emergency Surgical Hospital","","Hosp","","NFP","",NA,NA,"","","","","",NA,NA,NA,"","","Lofa","LBR08","Kolahun","LBR0802",NA,"Voinjama",8.4228,-9.7532,"",NA,"","http://www.tlcafrica.com/lisgis/lisgis.htm","","","","",NA,"","","","","","Nyandemoilahun Clinic",23,0.323093515738735,"no","no",NA
"53","Liberia","","19.08.14","LR21-000056","Faith","","Clinic","","Faith Based Organization","N/A",NA,NA,"","","","","",NA,NA,NA,"","","Lofa","LBR08","Kolahun","LBR0802",NA,"",8.3331,-10.06643,"",NA,"","","","","","",NA,"","","","","","Faith Clinic",7,0.262135212627378,"no","no",NA
"54","Liberia","","19.08.14","LR21-000041","Kaintahun","","Clinic","","PMU","N/A",NA,NA,"","","","","",NA,NA,NA,"","","Lofa","LBR08","Kolahun","LBR0802",NA,"",8.1622,-10.21599,"",NA,"","","","","","",NA,"","","","","","Kamatahun Clinic",9,0.129714730847326,"no","no",NA
"55","Liberia","","19.08.14","UN287","Barkedu Clinic","","Clinic","","GOL","",NA,NA,"0","","","","",NA,NA,NA,"","","Lofa","LBR08","Quardu Gboni","LBR0803",NA,"Barkedu Town",8.299829797,-9.631134,"",NA,"","","","","","UNMO TEAM SITE –11 (VOINJAMA)",11,"VOINJAMA","29P","MK 30 17","29PMK 30 17","29PMK 305 175","Barkedu Clinic",0,0,"yes","yes","yes"
"56","Liberia","","","UN286","Sakonedu  Clinic","","","","","",NA,NA,"0","","","","",NA,NA,NA,"","","Lofa","LBR08","Quardu Gboni","LBR0803",NA,"Sakonedu Town",8.462576391,-9.667734,"",NA,"","","","","","UNMO TEAM SITE –11 (VOINJAMA)",11,"VOINJAMA","29P","MK 26 35","29PMK 26 35","29PMK 265 355","Sarkonnedu Clinic",3,0.0619168480353142,"no","yes",NA
"57","Liberia","","","LISGIS171","Ganglota Clinic","","Clinic","","GOL","",NA,NA,"","","","","",NA,NA,NA,"","","Lofa","LBR08","Salayea","LBR0804",NA,"Ganglota",7.4228,-9.4934,"",NA,"","http://www.tlcafrica.com/lisgis/lisgis.htm","","","","",NA,"","","","","","Ganglota Clinic",0,0,"yes","yes","yes"
"58","Liberia","Open","19.08.14","UN259","Gbanway Clinic","","Clinic","","IRC","",NA,NA,"0","5","N","","",NA,NA,NA,"","","Lofa","LBR08","Salayea","LBR0804",NA,"Gbanway",7.68782425,-9.42636,"",NA,"","","","","","UNMO TEAM SITE 10 – (GBRANGA)",10,"Gbranga","29N","MJ 5298 4981","29NMJ 5298 4981","29NMJ 5298 4981","Gbanway Clinic",0,0,"yes","yes","yes"
"59","Liberia","","19.08.14","LR21-000047","Gbonyea Community","","Clinic","","IRC","N/A",NA,NA,"","","","","",NA,NA,NA,"","","Lofa","LBR08","Salayea","LBR0804",NA,"Gbonyea",7.50718,-9.5494,"",NA,"","","","","","",NA,"","","","","","Gbonyea Clinic",6,0.245752766734349,"no","no",NA
"60","Liberia","Open","19.08.14","LR21-000044","Gonglota Clinic","","Clinic","","IRC","N/A",NA,NA,"Nil","1","N","","",NA,NA,NA,"","","Lofa","LBR08","Salayea","LBR0804",NA,"Gonglota",7.4205,-9.4916,"",NA,"","","","","","UNMO TEAM SITE 10 – (GBRANGA)",10,"Gbranga","29N","MJ 45688 2026","29NMJ 45688 2026","29NMJ 45688 2026","Ganglota Clinic",1,0.0434782608695651,"no","yes",NA
"61","Liberia","Open","19.08.14","UN258","Gorlu Clinic","","Clinic","","IRC","",NA,NA,"Nil","3","N","","",NA,NA,NA,"","","Lofa","LBR08","Salayea","LBR0804",NA,"Gorlu",7.519885789,-9.479037,"",NA,"","","","","","UNMO TEAM SITE 10 – (GBRANGA)",10,"Gbranga","29N","MJ 4715 3125","29NMJ 4715 3125","29NMJ 4715 3125","Gorlu Clinic",0,0,"yes","yes","yes"
"62","Liberia","","19.08.14","LR21-000019","Kpaiyea Clinic","Y","Clinic","","IRC","N/A",NA,NA,"","","","","",NA,NA,NA,"","","Lofa","LBR08","Salayea","LBR0804",NA,"Kpaiyea",7.71587,-9.38587,"",NA,"","","","","","",NA,"","","","","","Kpaiyea Clinic",0,0,"yes","yes","yes"
"63","Liberia","Open","19.08.14","UN250","Salayea Clinic","","Clinic","","IRC","",NA,NA,"N","11","N","","",NA,NA,NA,"","","Lofa","LBR08","Salayea","LBR0804",NA,"Salayea",7.619280818,-9.491748,"",NA,"","","","","","UNMO TEAM SITE 10 – (GBRANGA)",10,"Gbranga","29N","MJ 4576 4224","29NMJ 4576 4224","29NMJ 4576 4224","Salayea Clinic",0,0,"yes","yes","yes"
"64","Liberia","Open","19.08.14","UN256","Sucromu Clinic","","Clinic","","IRC","",NA,NA,"Nil","6","N","","",NA,NA,NA,"","","Lofa","LBR08","Salayea","LBR0804",NA,"Sucromu",7.722006182,-9.436097,"",NA,"","","","","","UNMO TEAM SITE 10 – (GBRANGA)",10,"Gbranga","29N","MJ 5191 5359","29NMJ 5191 5359","29NMJ 5191 5359","Sucromu Clinic",0,0,"yes","yes","yes"
"65","Liberia","","","UN254","Biggs Clinic","","","","","",NA,NA,"Not Known","Not Known","N","","",NA,NA,NA,"","","Lofa","LBR08","Salayea","LBR0804",NA,"",7.506682026,-9.553797,"",NA,"","","","","","UNMO TEAM SITE 10 – (GBRANGA)",10,"Gbranga","29N","MJ 389 298","29NMJ 389 298","29NMJ 389 298","Ganglota Clinic",7,0.300621393819765,"no","no",NA
"66","Liberia","","","UN252","Telemai Clinic","","","","","",NA,NA,"Not Known","Not Known","N","","",NA,NA,NA,"","","Lofa","LBR08","Salayea","LBR0804",NA,"",7.681383801,-9.444307,"",NA,"","","","","","UNMO TEAM SITE 10 – (GBRANGA)",10,"Gbranga","29N","MJ 510 491","29NMJ 510 491","29NMJ 510 491","Kpaiyea Clinic",7,0.173131134210435,"no","no",NA
"67","Liberia","","","UN253","Tinsui Clinic","","","","","",NA,NA,"Not Known","Not Known","N","","",NA,NA,NA,"","","Lofa","LBR08","Salayea","LBR0804",NA,"",7.588099092,-9.546648,"",NA,"","","","","","UNMO TEAM SITE 10 – (GBRANGA)",10,"Gbranga","29N","MJ 397 388","29NMJ 397 388","29NMJ 397 388","Gorlu Clinic",5,0.230199641080499,"no","no",NA
"68","Liberia","Open","","UN251","Yarpauh Clinic","","","","MoHSW","",NA,NA,"Nil","5","N","","",NA,NA,NA,"","","Lofa","LBR08","Salayea","LBR0804",NA,"",7.364441212,-9.753127,"",NA,"","","","","","UNMO TEAM SITE 10 – (GBRANGA)",10,"Gbranga","29N","MJ 5338 44619","29NMJ 5338 44619","29NMJ 5338 44619","Yarpuah Clinic",1,0,"no","yes",NA
"69","Liberia","","19.08.14","LR21-000049","Yarpua","","Clinic","","IRC","N/A",NA,NA,"","","","","",NA,NA,NA,"","","Lofa","LBR08","Salayea","LBR0804",NA,"",7.65506,-9.42256,"",NA,"","","","","","",NA,"","","","","","Yarpuah Clinic",8,0.333333333333333,"no","no",NA
