WHO_REGION,UNICEF_REGION,WBINCOME_SHORT_STATUS,WHO_LEGAL_STATUS_TITLE,DEVELOPMENT_STATUS,COVAX_STATUS,COUNTRYNAME,ISO_3_CODE,MONTH_DESCRIPTION,PROCUREMENT_TYPE,MANUFACTURER_DESCRIPTION,VACCINE_NAME,TOTAL_DOSES
AFR,ESARO,Low income,Member State,Least developed,AMC,Malawi,MWI,2022-07-06T23:00:00.000Z,MULTILATERAL_AFRICAN,Janssen Pharmaceuticals,Janssen - Ad26.COV 2-S,102000
AFR,ESARO,Low income,Member State,Least developed,AMC,Malawi,MWI,2022-09-08T23:00:00.000Z,NR,NR,All vaccine types,2425790
AFR,ESARO,Low income,Member State,Least developed,AMC,Mozambique,MOZ,2022-06-05T23:00:00.000Z,BILATERAL_AGREEMENT,Beijing Bio-Institute Biological Products (CNBG),Beijing CNBG - BBIBP-CorV,100000
AFR,ESARO,Low income,Member State,Least developed,AMC,Mozambique,MOZ,2022-06-05T23:00:00.000Z,BILATERAL_AGREEMENT,Beijing Bio-Institute Biological Products (CNBG),Beijing CNBG - BBIBP-CorV,11000000
AFR,ESARO,Low income,Member State,Least developed,AMC,Mozambique,MOZ,2022-06-05T23:00:00.000Z,BILATERAL_AGREEMENT,Wuhan Institute of Biological Products (CNBG),Wuhan CNBG - Inactivated,260000
AFR,ESARO,Low income,Member State,Least developed,AMC,Mozambique,MOZ,2022-07-06T23:00:00.000Z,BILATERAL_AGREEMENT,Beijing Bio-Institute Biological Products (CNBG),Wuhan CNBG - Inactivated,2960000
AFR,ESARO,Low income,Member State,Least developed,AMC,Mozambique,MOZ,2022-07-06T23:00:00.000Z,BILATERAL_AGREEMENT,Janssen Pharmaceuticals,Janssen - Ad26.COV 2-S,302400
AFR,ESARO,Low income,Member State,Least developed,AMC,Mozambique,MOZ,2022-06-05T23:00:00.000Z,COVAX_FACILITY,Janssen Pharmaceuticals,Janssen - Ad26.COV 2-S,302400
AFR,ESARO,Low income,Member State,Least developed,AMC,Mozambique,MOZ,2022-06-05T23:00:00.000Z,COVAX_FACILITY,Serum Institute of India,SII - Covishield,384000
AFR,ESARO,Low income,Member State,Least developed,AMC,Mozambique,MOZ,2022-07-06T23:00:00.000Z,COVAX_FACILITY,AstraZeneca,AstraZeneca - Vaxzevria,642000
AFR,ESARO,Low income,Member State,Least developed,AMC,Mozambique,MOZ,2022-06-05T23:00:00.000Z,DONATION,Beijing Bio-Institute Biological Products (CNBG),Beijing CNBG - BBIBP-CorV,
AFR,ESARO,Low income,Member State,Least developed,AMC,Mozambique,MOZ,2022-06-05T23:00:00.000Z,DONATION,Serum Institute of India,SII - Covishield,100000
AFR,ESARO,Low income,Member State,Least developed,AMC,Mozambique,MOZ,2022-07-06T23:00:00.000Z,NR,NR,All vaccine types,3904400
AFR,ESARO,Low income,Member State,Least developed,AMC,Rwanda,RWA,2022-09-08T23:00:00.000Z,BILATERAL_AGREEMENT,Pfizer BioNTech,Pfizer BioNTech - Comirnaty,3983850
AFR,ESARO,Low income,Member State,Least developed,AMC,Rwanda,RWA,2022-06-05T23:00:00.000Z,COVAX_FACILITY,Pfizer BioNTech,Pfizer BioNTech - Comirnaty,52960
AFR,ESARO,Low income,Member State,Least developed,AMC,Rwanda,RWA,2022-09-08T23:00:00.000Z,COVAX_FACILITY,AstraZeneca,AstraZeneca - Vaxzevria,1083090
AFR,ESARO,Low income,Member State,Least developed,AMC,Rwanda,RWA,2022-09-08T23:00:00.000Z,COVAX_FACILITY,Beijing Bio-Institute Biological Products (CNBG),Beijing CNBG - BBIBP-CorV,420060
AFR,ESARO,Low income,Member State,Least developed,AMC,Rwanda,RWA,2022-09-08T23:00:00.000Z,COVAX_FACILITY,Gamaleya Research Institute,Gamaleya - Gam-Covid-Vac,10000
AFR,ESARO,Low income,Member State,Least developed,AMC,Rwanda,RWA,2022-09-08T23:00:00.000Z,COVAX_FACILITY,Moderna,Moderna - Spikevax,2000
AFR,ESARO,Low income,Member State,Least developed,AMC,Rwanda,RWA,2022-09-08T23:00:00.000Z,COVAX_FACILITY,Sinovac,Sinovac - CoronaVac,604400
AFR,ESARO,Low income,Member State,Least developed,AMC,Rwanda,RWA,2022-09-08T23:00:00.000Z,MULTILATERAL_AFRICAN,Janssen Pharmaceuticals,Janssen - Ad26.COV 2-S,108000
AFR,ESARO,Low income,Member State,Least developed,AMC,Rwanda,RWA,2022-09-08T23:00:00.000Z,NR,NR,All vaccine types,6211400
AFR,ESARO,Low income,Member State,Least developed,AMC,South Sudan,SSD,2022-09-08T23:00:00.000Z,COVAX_FACILITY,AstraZeneca,AstraZeneca - Vaxzevria,119520
AFR,ESARO,Low income,Member State,Least developed,AMC,South Sudan,SSD,2022-09-08T23:00:00.000Z,COVAX_FACILITY,Janssen Pharmaceuticals,Janssen - Ad26.COV 2-S,152950
AFR,ESARO,Low income,Member State,Least developed,AMC,South Sudan,SSD,2022-06-05T23:00:00.000Z,MULTILATERAL_AFRICAN,AstraZeneca,AstraZeneca - Vaxzevria,60000
AFR,ESARO,Low income,Member State,Least developed,AMC,South Sudan,SSD,2022-09-08T23:00:00.000Z,NR,NR,All vaccine types,272470
AFR,ESARO,Low income,Member State,Least developed,AMC,Uganda,UGA,2022-06-05T23:00:00.000Z,BILATERAL_AGREEMENT,AstraZeneca,AstraZeneca - Vaxzevria,100000
AFR,ESARO,Low income,Member State,Least developed,AMC,Uganda,UGA,2022-06-05T23:00:00.000Z,COVAX_FACILITY,AstraZeneca,AstraZeneca - Vaxzevria,864000
AFR,ESARO,Low income,Member State,Least developed,AMC,Uganda,UGA,2022-06-05T23:00:00.000Z,NR,NR,All vaccine types,964000
AFR,ESARO,Middle income,Member State,Developing,AMC,Eswatini,SWZ,2022-09-08T23:00:00.000Z,BILATERAL_AGREEMENT,AstraZeneca,AstraZeneca - Vaxzevria,175190
AFR,ESARO,Middle income,Member State,Developing,AMC,Eswatini,SWZ,2022-09-08T23:00:00.000Z,COVAX_FACILITY,Janssen Pharmaceuticals,Janssen - Ad26.COV 2-S,302400
AFR,ESARO,Middle income,Member State,Developing,AMC,Eswatini,SWZ,2022-11-11T00:00:00.000Z,COVAX_FACILITY,AstraZeneca,AstraZeneca - Vaxzevria,0
AFR,ESARO,Middle income,Member State,Developing,AMC,Eswatini,SWZ,2022-11-11T00:00:00.000Z,COVAX_FACILITY,Pfizer BioNTech,Pfizer BioNTech - Comirnaty,100620
AFR,ESARO,Middle income,Member State,Developing,AMC,Eswatini,SWZ,2022-11-11T00:00:00.000Z,DONATION,AstraZeneca,AstraZeneca - Vaxzevria,
AFR,ESARO,Middle income,Member State,Developing,AMC,Eswatini,SWZ,2022-11-11T00:00:00.000Z,DONATION,Janssen Pharmaceuticals,Janssen - Ad26.COV 2-S,302400
AFR,ESARO,Middle income,Member State,Developing,AMC,Eswatini,SWZ,2022-11-11T00:00:00.000Z,NR,NR,All vaccine types,403020
AFR,ESARO,Middle income,Member State,Developing,AMC,Kenya,KEN,2022-06-05T23:00:00.000Z,BILATERAL_AGREEMENT,AstraZeneca,AstraZeneca - Vaxzevria,100000
AFR,ESARO,Middle income,Member State,Developing,AMC,Kenya,KEN,2022-07-06T23:00:00.000Z,BILATERAL_AGREEMENT,Moderna,Moderna - Spikevax,880460
AFR,ESARO,Middle income,Member State,Developing,AMC,Kenya,KEN,2022-04-03T23:00:00.000Z,COVAX_FACILITY,Serum Institute of India,SII - Covishield,1020000
AFR,ESARO,Middle income,Member State,Developing,AMC,Kenya,KEN,2022-07-06T23:00:00.000Z,COVAX_FACILITY,AstraZeneca,AstraZeneca - Vaxzevria,3088300
AFR,ESARO,Middle income,Member State,Developing,AMC,Kenya,KEN,2022-07-06T23:00:00.000Z,NR,NR,All vaccine types,3968760
AFR,ESARO,Middle income,Member State,Developing,AMC,Zimbabwe,ZWE,2022-08-07T23:00:00.000Z,BILATERAL_AGREEMENT,Beijing Bio-Institute Biological Products (CNBG),Beijing CNBG - BBIBP-CorV,5492800
AFR,ESARO,Middle income,Member State,Developing,AMC,Zimbabwe,ZWE,2022-08-07T23:00:00.000Z,BILATERAL_AGREEMENT,Bharat Biotech,Bharat - Covaxin,35000
AFR,ESARO,Middle income,Member State,Developing,AMC,Zimbabwe,ZWE,2022-08-07T23:00:00.000Z,BILATERAL_AGREEMENT,Sinovac,Sinovac - CoronaVac,6200000
AFR,ESARO,Middle income,Member State,Developing,AMC,Zimbabwe,ZWE,2022-08-07T23:00:00.000Z,NR,NR,All vaccine types,11727800
AFR,ESARO,Middle income,Member State,Developing,No,Namibia,NAM,2022-06-05T23:00:00.000Z,BILATERAL_AGREEMENT,AstraZeneca,AstraZeneca - Vaxzevria,30000
AFR,ESARO,Middle income,Member State,Developing,No,Namibia,NAM,2022-07-06T23:00:00.000Z,BILATERAL_AGREEMENT,Beijing Bio-Institute Biological Products (CNBG),Beijing CNBG - BBIBP-CorV,350000
AFR,ESARO,Middle income,Member State,Developing,No,Namibia,NAM,2022-07-06T23:00:00.000Z,COVAX_FACILITY,AstraZeneca,AstraZeneca - Vaxzevria,247200
AFR,ESARO,Middle income,Member State,Developing,No,Namibia,NAM,2022-07-06T23:00:00.000Z,NR,NR,All vaccine types,597200
AFR,ESARO,Middle income,Member State,Developing,No,South Africa,ZAF,2022-05-04T23:00:00.000Z,BILATERAL_AGREEMENT,Janssen Pharmaceuticals,Janssen - Ad26.COV 2-S,500000
AFR,ESARO,Middle income,Member State,Developing,No,South Africa,ZAF,2022-05-04T23:00:00.000Z,NR,NR,All vaccine types,500000
AFR,ESARO,Middle income,Member State,Developing,Self-financing,Botswana,BWA,2022-04-03T23:00:00.000Z,BILATERAL_AGREEMENT,AstraZeneca,AstraZeneca - Vaxzevria,40000
AFR,ESARO,Middle income,Member State,Developing,Self-financing,Botswana,BWA,2022-09-08T23:00:00.000Z,BILATERAL_AGREEMENT,Pfizer BioNTech,Pfizer BioNTech - Comirnaty,19890
AFR,ESARO,Middle income,Member State,Developing,Self-financing,Botswana,BWA,2022-09-08T23:00:00.000Z,BILATERAL_AGREEMENT,Sinovac,Sinovac - CoronaVac,400000
AFR,ESARO,Middle income,Member State,Developing,Self-financing,Botswana,BWA,2022-09-08T23:00:00.000Z,COVAX_FACILITY,AstraZeneca,AstraZeneca - Vaxzevria,130800
AFR,ESARO,Middle income,Member State,Developing,Self-financing,Botswana,BWA,2022-07-06T23:00:00.000Z,MULTILATERAL_AFRICAN,Sinovac,Sinovac - CoronaVac,400000
AFR,ESARO,Middle income,Member State,Developing,Self-financing,Botswana,BWA,2022-09-08T23:00:00.000Z,MULTILATERAL_AFRICAN,Janssen Pharmaceuticals,Janssen - Ad26.COV 2-S,108000
AFR,ESARO,Middle income,Member State,Developing,Self-financing,Botswana,BWA,2022-09-08T23:00:00.000Z,NR,NR,All vaccine types,658690
AFR,ESARO,Middle income,Member State,Developing,Self-financing,Mauritius,MUS,2022-04-03T23:00:00.000Z,BILATERAL_AGREEMENT,Serum Institute of India,SII - Covishield,200000
AFR,ESARO,Middle income,Member State,Developing,Self-financing,Mauritius,MUS,2022-06-05T23:00:00.000Z,BILATERAL_AGREEMENT,AstraZeneca,AstraZeneca - Vaxzevria,262400
AFR,ESARO,Middle income,Member State,Developing,Self-financing,Mauritius,MUS,2022-06-05T23:00:00.000Z,BILATERAL_AGREEMENT,Beijing Bio-Institute Biological Products (CNBG),Beijing CNBG - BBIBP-CorV,600000
AFR,ESARO,Middle income,Member State,Developing,Self-financing,Mauritius,MUS,2022-06-05T23:00:00.000Z,BILATERAL_AGREEMENT,Bharat Biotech,Bharat - Covaxin,200000
AFR,ESARO,Middle income,Member State,Developing,Self-financing,Mauritius,MUS,2022-04-03T23:00:00.000Z,COVAX_FACILITY,AstraZeneca,AstraZeneca - Vaxzevria,62800
AFR,ESARO,Middle income,Member State,Developing,Self-financing,Mauritius,MUS,2022-06-05T23:00:00.000Z,NR,NR,All vaccine types,1062400
AFR,ESARO,Middle income,Member State,Least developed,AMC,Angola,AGO,2022-06-05T23:00:00.000Z,BILATERAL_AGREEMENT,Beijing Bio-Institute Biological Products (CNBG),Beijing CNBG - BBIBP-CorV,200000
AFR,ESARO,Middle income,Member State,Least developed,AMC,Angola,AGO,2022-11-11T00:00:00.000Z,BILATERAL_AGREEMENT,Gamaleya Research Institute,Gamaleya - Gam-Covid-Vac,588550
AFR,ESARO,Middle income,Member State,Least developed,AMC,Angola,AGO,2022-11-11T00:00:00.000Z,COVAX_FACILITY,AstraZeneca,AstraZeneca - Vaxzevria,4674130
AFR,ESARO,Middle income,Member State,Least developed,AMC,Angola,AGO,2022-11-11T00:00:00.000Z,COVAX_FACILITY,Janssen Pharmaceuticals,Janssen - Ad26.COV 2-S,3049650
AFR,ESARO,Middle income,Member State,Least developed,AMC,Angola,AGO,2022-11-11T00:00:00.000Z,COVAX_FACILITY,Moderna,Moderna - Spikevax,3352800
AFR,ESARO,Middle income,Member State,Least developed,AMC,Angola,AGO,2022-11-11T00:00:00.000Z,COVAX_FACILITY,Pfizer BioNTech,Pfizer BioNTech - Comirnaty,6027840
AFR,ESARO,Middle income,Member State,Least developed,AMC,Angola,AGO,2022-11-11T00:00:00.000Z,COVAX_FACILITY,Sinovac,Beijing CNBG - BBIBP-CorV,15089622
AFR,ESARO,Middle income,Member State,Least developed,AMC,Angola,AGO,2022-11-11T00:00:00.000Z,NR,NR,All vaccine types,32782592
AFR,ESARO,Middle income,Member State,Least developed,AMC,Comoros,COM,2022-06-05T23:00:00.000Z,BILATERAL_AGREEMENT,Beijing Bio-Institute Biological Products (CNBG),Beijing CNBG - BBIBP-CorV,100000
AFR,ESARO,Middle income,Member State,Least developed,AMC,Comoros,COM,2022-04-03T23:00:00.000Z,COVAX_FACILITY,Serum Institute of India,SII - Covishield,
AFR,ESARO,Middle income,Member State,Least developed,AMC,Comoros,COM,2022-06-05T23:00:00.000Z,COVAX_FACILITY,AstraZeneca,AstraZeneca - Vaxzevria,12000
AFR,ESARO,Middle income,Member State,Least developed,AMC,Comoros,COM,2022-06-05T23:00:00.000Z,MULTILATERAL_AFRICAN,AstraZeneca,AstraZeneca - Vaxzevria,6000
AFR,ESARO,Middle income,Member State,Least developed,AMC,Comoros,COM,2022-06-05T23:00:00.000Z,NR,NR,All vaccine types,118000
AFR,ESARO,Middle income,Member State,Least developed,AMC,Lesotho,LSO,2022-09-08T23:00:00.000Z,BILATERAL_AGREEMENT,Sinovac,Sinovac - CoronaVac,200000
AFR,ESARO,Middle income,Member State,Least developed,AMC,Lesotho,LSO,2022-06-05T23:00:00.000Z,COVAX_FACILITY,AstraZeneca,AstraZeneca - Vaxzevria,72000
AFR,ESARO,Middle income,Member State,Least developed,AMC,Lesotho,LSO,2022-09-08T23:00:00.000Z,COVAX_FACILITY,Janssen Pharmaceuticals,Janssen - Ad26.COV 2-S,659600
AFR,ESARO,Middle income,Member State,Least developed,AMC,Lesotho,LSO,2022-09-08T23:00:00.000Z,MULTILATERAL_AFRICAN,AstraZeneca,AstraZeneca - Vaxzevria,72000
AFR,ESARO,Middle income,Member State,Least developed,AMC,Lesotho,LSO,2022-09-08T23:00:00.000Z,NR,NR,All vaccine types,931600
AFR,ESARO,Middle income,Member State,Least developed,AMC,United Republic of Tanzania,TZA,2022-08-07T23:00:00.000Z,BILATERAL_AGREEMENT,Gamaleya Research Institute,Gamaleya - Gam-Covid-Vac,1000
AFR,ESARO,Middle income,Member State,Least developed,AMC,United Republic of Tanzania,TZA,2022-09-08T23:00:00.000Z,BILATERAL_AGREEMENT,Beijing Bio-Institute Biological Products (CNBG),Beijing CNBG - BBIBP-CorV,1065600
AFR,ESARO,Middle income,Member State,Least developed,AMC,United Republic of Tanzania,TZA,2022-09-08T23:00:00.000Z,BILATERAL_AGREEMENT,Sinovac,Sinovac - CoronaVac,110000
AFR,ESARO,Middle income,Member State,Least developed,AMC,United Republic of Tanzania,TZA,2022-09-08T23:00:00.000Z,COVAX_FACILITY,Janssen Pharmaceuticals,Janssen - Ad26.COV 2-S,1058400
AFR,ESARO,Middle income,Member State,Least developed,AMC,United Republic of Tanzania,TZA,2022-09-08T23:00:00.000Z,NR,NR,All vaccine types,2234000
AFR,ESARO,Middle income,Member State,Least developed,AMC,Zambia,ZMB,2022-09-08T23:00:00.000Z,BILATERAL_AGREEMENT,Sinovac,Sinovac - CoronaVac,113600
AFR,ESARO,Middle income,Member State,Least developed,AMC,Zambia,ZMB,2022-11-11T00:00:00.000Z,BILATERAL_AGREEMENT,Beijing Bio-Institute Biological Products (CNBG),Beijing CNBG - BBIBP-CorV,113600
AFR,ESARO,Middle income,Member State,Least developed,AMC,Zambia,ZMB,2022-08-07T23:00:00.000Z,COVAX_FACILITY,Gamaleya Research Institute,Gamaleya - Gam-Covid-Vac,432000
AFR,ESARO,Middle income,Member State,Least developed,AMC,Zambia,ZMB,2022-11-11T00:00:00.000Z,COVAX_FACILITY,AstraZeneca,AstraZeneca - Vaxzevria,119200
AFR,ESARO,Middle income,Member State,Least developed,AMC,Zambia,ZMB,2022-11-11T00:00:00.000Z,COVAX_FACILITY,AstraZeneca,AstraZeneca - Vaxzevria,228000
AFR,ESARO,Middle income,Member State,Least developed,AMC,Zambia,ZMB,2022-11-11T00:00:00.000Z,COVAX_FACILITY,AstraZeneca,AstraZeneca - Vaxzevria,410100
AFR,ESARO,Middle income,Member State,Least developed,AMC,Zambia,ZMB,2022-11-11T00:00:00.000Z,COVAX_FACILITY,Beijing Bio-Institute Biological Products (CNBG),Beijing CNBG - BBIBP-CorV,636000
AFR,ESARO,Middle income,Member State,Least developed,AMC,Zambia,ZMB,2022-11-11T00:00:00.000Z,COVAX_FACILITY,Janssen Pharmaceuticals,Janssen - Ad26.COV 2-S,638400
AFR,ESARO,Middle income,Member State,Least developed,AMC,Zambia,ZMB,2022-11-11T00:00:00.000Z,COVAX_FACILITY,Janssen Pharmaceuticals,Janssen - Ad26.COV 2-S,1008000
AFR,ESARO,Middle income,Member State,Least developed,AMC,Zambia,ZMB,2022-11-11T00:00:00.000Z,COVAX_FACILITY,Moderna,Moderna - Spikevax,188400
AFR,ESARO,Middle income,Member State,Least developed,AMC,Zambia,ZMB,2022-11-11T00:00:00.000Z,COVAX_FACILITY,Pfizer BioNTech,Pfizer BioNTech - Comirnaty,580320
AFR,ESARO,Middle income,Member State,Least developed,AMC,Zambia,ZMB,2022-11-11T00:00:00.000Z,COVAX_FACILITY,Serum Institute of India,SII - Covishield,228000
AFR,ESARO,Middle income,Member State,Least developed,AMC,Zambia,ZMB,2022-11-11T00:00:00.000Z,MULTILATERAL_AFRICAN,Janssen Pharmaceuticals,Janssen - Ad26.COV 2-S,604800
AFR,ESARO,Middle income,Member State,Least developed,AMC,Zambia,ZMB,2022-11-11T00:00:00.000Z,NR,NR,All vaccine types,4754820
AFR,MENA,Middle income,Member State,Developing,AMC,Algeria,DZA,2022-04-03T23:00:00.000Z,BILATERAL_AGREEMENT,AstraZeneca,AstraZeneca - Vaxzevria,50000
AFR,MENA,Middle income,Member State,Developing,AMC,Algeria,DZA,2022-09-08T23:00:00.000Z,BILATERAL_AGREEMENT,Beijing Bio-Institute Biological Products (CNBG),Beijing CNBG - BBIBP-CorV,700000
AFR,MENA,Middle income,Member State,Developing,AMC,Algeria,DZA,2022-09-08T23:00:00.000Z,BILATERAL_AGREEMENT,Gamaleya Research Institute,Gamaleya - Gam-Covid-Vac,1000000
AFR,MENA,Middle income,Member State,Developing,AMC,Algeria,DZA,2022-09-08T23:00:00.000Z,BILATERAL_AGREEMENT,Janssen Pharmaceuticals,Janssen - Ad26.COV 2-S,604800
AFR,MENA,Middle income,Member State,Developing,AMC,Algeria,DZA,2022-09-08T23:00:00.000Z,BILATERAL_AGREEMENT,Sinovac,Sinovac - CoronaVac,22975200
AFR,MENA,Middle income,Member State,Developing,AMC,Algeria,DZA,2022-09-08T23:00:00.000Z,COVAX_FACILITY,AstraZeneca,AstraZeneca - Vaxzevria,2253200
AFR,MENA,Middle income,Member State,Developing,AMC,Algeria,DZA,2022-09-08T23:00:00.000Z,NR,NR,All vaccine types,27533200
AFR,WCARO,Low income,Member State,Least developed,AMC,Burkina Faso,BFA,2022-05-04T23:00:00.000Z,BILATERAL_AGREEMENT,AstraZeneca,AstraZeneca - Vaxzevria,115000
AFR,WCARO,Low income,Member State,Least developed,AMC,Burkina Faso,BFA,2022-09-08T23:00:00.000Z,BILATERAL_AGREEMENT,Sinovac,Sinovac - CoronaVac,1074000
AFR,WCARO,Low income,Member State,Least developed,AMC,Burkina Faso,BFA,2022-09-08T23:00:00.000Z,COVAX_FACILITY,AstraZeneca,AstraZeneca - Vaxzevria,222800
AFR,WCARO,Low income,Member State,Least developed,AMC,Burkina Faso,BFA,2022-09-08T23:00:00.000Z,COVAX_FACILITY,Janssen Pharmaceuticals,Janssen - Ad26.COV 2-S,453860
